EV, LA, Hits, Outs
9, -88, 5.0, 50.0
10, -88, 5.0, 47.0
11, -88, 5.0, 45.0
12, -88, 5.0, 45.0
13, -88, 5.0, 56.0
14, -88, 4.0, 51.0
15, -88, 4.0, 57.0
16, -88, 3.0, 55.0
17, -88, 4.0, 49.0
18, -88, 3.0, 55.0
19, -88, 6.0, 59.0
20, -88, 4.0, 48.0
21, -88, 5.0, 54.0
22, -88, 4.0, 55.0
23, -88, 4.0, 53.0
24, -88, 5.0, 63.0
25, -88, 2.0, 52.0
26, -88, 0.0, 51.0
27, -88, 0.0, 54.0
28, -88, 0.0, 69.0
29, -88, 0.0, 54.0
30, -88, 1.0, 56.0
31, -88, 1.0, 56.0
32, -88, 2.0, 56.0
33, -88, 1.0, 68.0
34, -88, 1.0, 53.0
35, -88, 3.0, 61.0
36, -88, 2.0, 55.0
37, -88, 4.0, 67.0
38, -88, 6.0, 67.0
39, -88, 2.0, 49.0
40, -88, 2.0, 62.0
41, -88, 2.0, 63.0
42, -88, 2.0, 60.0
43, -88, 3.0, 69.0
44, -88, 4.0, 74.0
45, -88, 4.0, 51.0
46, -88, 2.0, 59.0
47, -88, 2.0, 50.0
48, -88, 2.0, 57.0
49, -88, 2.0, 63.0
50, -88, 5.0, 58.0
51, -88, 4.0, 61.0
52, -88, 4.0, 56.0
53, -88, 5.0, 53.0
54, -88, 6.0, 63.0
55, -88, 5.0, 62.0
56, -88, 4.0, 58.0
57, -88, 6.0, 52.0
58, -88, 6.0, 52.0
59, -88, 10.0, 63.0
60, -88, 9.0, 42.0
61, -88, 11.0, 54.0
62, -88, 9.0, 57.0
63, -88, 8.0, 53.0
64, -88, 9.0, 54.0
65, -88, 8.0, 43.0
66, -88, 8.0, 44.0
67, -88, 10.0, 51.0
68, -88, 10.0, 48.0
69, -88, 10.0, 40.0
70, -88, 6.0, 47.0
71, -88, 10.0, 55.0
72, -88, 8.0, 51.0
73, -88, 7.0, 45.0
74, -88, 6.0, 60.0
75, -88, 5.0, 53.0
76, -88, 7.0, 58.0
77, -88, 5.0, 50.0
78, -88, 5.0, 49.0
79, -88, 6.0, 62.0
80, -88, 5.0, 47.0
81, -88, 11.0, 53.0
82, -88, 8.0, 47.0
83, -88, 12.0, 54.0
84, -88, 9.0, 49.0
85, -88, 9.0, 48.0
86, -88, 9.0, 43.0
87, -88, 8.0, 44.0
88, -88, 14.0, 48.0
89, -88, 8.0, 45.0
90, -88, 13.0, 43.0
91, -88, 15.0, 57.0
92, -88, 9.0, 44.0
93, -88, 14.0, 47.0
94, -88, 16.0, 40.0
95, -88, 20.0, 50.0
96, -88, 18.0, 43.0
97, -88, 16.0, 35.0
98, -88, 19.0, 46.0
99, -88, 18.0, 42.0
100, -88, 19.0, 47.0
101, -88, 18.0, 38.0
102, -88, 24.0, 43.0
103, -88, 17.0, 37.0
104, -88, 19.0, 45.0
105, -88, 15.0, 40.0
106, -88, 16.0, 49.0
107, -88, 14.0, 42.0
108, -88, 17.0, 46.0
109, -88, 9.0, 42.0
110, -88, 15.0, 49.0
111, -88, 14.0, 47.0
112, -88, 15.0, 47.0
113, -88, 13.0, 44.0
114, -88, 18.0, 45.0
115, -88, 16.0, 37.0
116, -88, 18.0, 43.0
117, -88, 20.0, 48.0
118, -88, 17.0, 40.0
119, -88, 23.0, 55.0
120, -88, 17.0, 44.0
121, -88, 15.0, 37.0
122, -88, 14.0, 40.0
123, -88, 20.0, 48.0
124, -88, 12.0, 44.0
0, -87, 8.0, 48.0
1, -87, 7.0, 48.0
2, -87, 6.0, 46.0
3, -87, 8.0, 51.0
4, -87, 5.0, 45.0
5, -87, 5.0, 46.0
6, -87, 5.0, 51.0
7, -87, 6.0, 57.0
