EV, LA, Hits, Outs
23, -87, 4.0, 62.0
24, -87, 4.0, 53.0
25, -87, 5.0, 53.0
26, -87, 5.0, 47.0
27, -87, 5.0, 57.0
28, -87, 2.0, 48.0
29, -87, 3.0, 55.0
30, -87, 3.0, 52.0
31, -87, 2.0, 59.0
32, -87, 2.0, 55.0
33, -87, 3.0, 52.0
34, -87, 2.0, 58.0
35, -87, 2.0, 60.0
36, -87, 2.0, 61.0
37, -87, 1.0, 58.0
38, -87, 1.0, 54.0
39, -87, 1.0, 63.0
40, -87, 1.0, 50.0
41, -87, 1.0, 55.0
42, -87, 1.0, 59.0
43, -87, 5.0, 61.0
44, -87, 5.0, 65.0
45, -87, 4.0, 51.0
46, -87, 6.0, 48.0
47, -87, 4.0, 56.0
48, -87, 5.0, 45.0
49, -87, 5.0, 58.0
50, -87, 5.0, 47.0
51, -87, 5.0, 54.0
52, -87, 8.0, 58.0
53, -87, 8.0, 44.0
54, -87, 10.0, 60.0
55, -87, 5.0, 64.0
56, -87, 5.0, 62.0
57, -87, 7.0, 50.0
58, -87, 7.0, 45.0
59, -87, 6.0, 44.0
60, -87, 7.0, 59.0
61, -87, 8.0, 52.0
62, -87, 8.0, 54.0
63, -87, 7.0, 49.0
64, -87, 7.0, 61.0
65, -87, 6.0, 55.0
66, -87, 6.0, 44.0
67, -87, 9.0, 62.0
68, -87, 8.0, 61.0
69, -87, 9.0, 54.0
70, -87, 13.0, 61.0
71, -87, 9.0, 53.0
72, -87, 6.0, 49.0
73, -87, 7.0, 45.0
74, -87, 7.0, 63.0
75, -87, 7.0, 57.0
76, -87, 6.0, 50.0
77, -87, 5.0, 52.0
78, -87, 5.0, 51.0
79, -87, 7.0, 56.0
80, -87, 6.0, 50.0
81, -87, 8.0, 50.0
82, -87, 8.0, 46.0
83, -87, 10.0, 56.0
84, -87, 10.0, 63.0
85, -87, 10.0, 47.0
86, -87, 8.0, 56.0
87, -87, 10.0, 42.0
88, -87, 9.0, 50.0
89, -87, 12.0, 55.0
90, -87, 12.0, 49.0
91, -87, 12.0, 52.0
92, -87, 8.0, 43.0
93, -87, 15.0, 48.0
94, -87, 15.0, 41.0
95, -87, 12.0, 39.0
96, -87, 19.0, 53.0
97, -87, 15.0, 42.0
98, -87, 14.0, 39.0
99, -87, 14.0, 41.0
100, -87, 18.0, 49.0
101, -87, 22.0, 36.0
102, -87, 18.0, 48.0
103, -87, 13.0, 37.0
104, -87, 17.0, 44.0
105, -87, 15.0, 41.0
106, -87, 15.0, 45.0
107, -87, 13.0, 37.0
108, -87, 18.0, 43.0
109, -87, 15.0, 38.0
110, -87, 15.0, 37.0
111, -87, 18.0, 37.0
112, -87, 18.0, 42.0
113, -87, 17.0, 35.0
114, -87, 21.0, 42.0
115, -87, 14.0, 37.0
116, -87, 16.0, 40.0
117, -87, 21.0, 46.0
118, -87, 17.0, 44.0
119, -87, 15.0, 35.0
120, -87, 15.0, 46.0
0, -86, 3.0, 48.0
1, -86, 3.0, 54.0
2, -86, 4.0, 51.0
3, -86, 3.0, 48.0
4, -86, 3.0, 55.0
5, -86, 3.0, 51.0
6, -86, 3.0, 53.0
7, -86, 3.0, 52.0
8, -86, 4.0, 51.0
9, -86, 4.0, 60.0
10, -86, 4.0, 61.0
11, -86, 4.0, 62.0
12, -86, 2.0, 61.0
13, -86, 2.0, 49.0
14, -86, 1.0, 55.0
15, -86, 2.0, 60.0
16, -86, 2.0, 55.0
17, -86, 2.0, 51.0
18, -86, 3.0, 51.0
19, -86, 4.0, 54.0
20, -86, 4.0, 50.0
21, -86, 7.0, 60.0
22, -86, 3.0, 48.0
23, -86, 3.0, 53.0
24, -86, 4.0, 62.0
25, -86, 4.0, 50.0
26, -86, 5.0, 55.0
27, -86, 5.0, 47.0
28, -86, 5.0, 53.0
29, -86, 2.0, 48.0
30, -86, 3.0, 55.0
31, -86, 3.0, 54.0
32, -86, 2.0, 55.0
33, -86, 2.0, 52.0
34, -86, 3.0, 52.0
35, -86, 2.0, 57.0
36, -86, 2.0, 57.0
37, -86, 2.0, 58.0
38, -86, 1.0, 50.0
39, -86, 1.0, 57.0
40, -86, 1.0, 62.0
41, -86, 1.0, 51.0
42, -86, 1.0, 59.0
43, -86, 1.0, 52.0
44, -86, 6.0, 53.0
45, -86, 4.0, 59.0
46, -86, 8.0, 61.0
47, -86, 6.0, 45.0
48, -86, 4.0, 57.0
49, -86, 5.0, 58.0
50, -86, 5.0, 50.0
51, -86, 6.0, 46.0
52, -86, 6.0, 49.0
53, -86, 9.0, 59.0
54, -86, 6.0, 49.0
55, -86, 6.0, 49.0
56, -86, 3.0, 50.0
57, -86, 8.0, 64.0
58, -86, 7.0, 67.0
59, -86, 7.0, 57.0
60, -86, 6.0, 55.0
61, -86, 7.0, 47.0
62, -86, 8.0, 60.0
63, -86, 8.0, 61.0
64, -86, 6.0, 56.0
65, -86, 8.0, 72.0
66, -86, 9.0, 62.0
67, -86, 8.0, 60.0
68, -86, 9.0, 52.0
69, -86, 13.0, 57.0
70, -86, 9.0, 48.0
71, -86, 6.0, 47.0
72, -86, 7.0, 47.0
73, -86, 8.0, 63.0
74, -86, 7.0, 55.0
75, -86, 7.0, 49.0
76, -86, 5.0, 53.0
77, -86, 5.0, 52.0
78, -86, 7.0, 55.0
79, -86, 6.0, 49.0
80, -86, 7.0, 43.0
81, -86, 8.0, 47.0
82, -86, 10.0, 56.0
83, -86, 10.0, 63.0
84, -86, 10.0, 47.0
85, -86, 8.0, 56.0
86, -86, 10.0, 42.0
87, -86, 9.0, 50.0
88, -86, 12.0, 55.0
89, -86, 12.0, 47.0
90, -86, 12.0, 52.0
91, -86, 8.0, 44.0
92, -86, 15.0, 48.0
93, -86, 15.0, 41.0
94, -86, 12.0, 39.0
95, -86, 19.0, 53.0
96, -86, 15.0, 42.0
97, -86, 14.0, 39.0
98, -86, 14.0, 41.0
99, -86, 18.0, 49.0
100, -86, 22.0, 36.0
101, -86, 18.0, 48.0
102, -86, 13.0, 37.0
103, -86, 17.0, 44.0
104, -86, 15.0, 41.0
105, -86, 15.0, 45.0
106, -86, 13.0, 37.0
107, -86, 18.0, 43.0
108, -86, 15.0, 38.0
109, -86, 15.0, 37.0
110, -86, 18.0, 37.0
111, -86, 18.0, 42.0
112, -86, 17.0, 35.0
113, -86, 21.0, 42.0
114, -86, 14.0, 37.0
115, -86, 16.0, 40.0
116, -86, 21.0, 46.0
117, -86, 17.0, 44.0
118, -86, 15.0, 35.0
119, -86, 15.0, 46.0
120, -86, 19.0, 47.0
0, -85, 3.0, 52.0
1, -85, 3.0, 48.0
2, -85, 3.0, 54.0
3, -85, 4.0, 51.0
4, -85, 3.0, 48.0
5, -85, 3.0, 55.0
6, -85, 3.0, 51.0
7, -85, 3.0, 53.0
8, -85, 3.0, 52.0
9, -85, 4.0, 51.0
10, -85, 4.0, 60.0
11, -85, 4.0, 61.0
12, -85, 4.0, 62.0
13, -85, 2.0, 61.0
14, -85, 2.0, 50.0
15, -85, 1.0, 55.0
16, -85, 2.0, 59.0
17, -85, 2.0, 55.0
18, -85, 2.0, 51.0
19, -85, 3.0, 52.0
20, -85, 4.0, 55.0
21, -85, 4.0, 49.0
22, -85, 7.0, 60.0
23, -85, 3.0, 48.0
24, -85, 3.0, 51.0
25, -85, 4.0, 63.0
26, -85, 4.0, 50.0
27, -85, 5.0, 52.0
28, -85, 5.0, 47.0
29, -85, 5.0, 53.0
30, -85, 6.0, 60.0
31, -85, 3.0, 52.0
32, -85, 3.0, 53.0
33, -85, 2.0, 54.0
34, -85, 2.0, 49.0
35, -85, 3.0, 49.0
36, -85, 2.0, 54.0
37, -85, 2.0, 51.0
38, -85, 2.0, 56.0
39, -85, 1.0, 51.0
40, -85, 1.0, 55.0
