EV, LA, Hit_Probability
102, -89, 0.21739130434782608
103, -89, 0.23529411764705882
104, -89, 0.28125
105, -89, 0.1
106, -89, 0.17391304347826086
107, -89, 0.25806451612903225
108, -89, 0.16666666666666666
109, -89, 0.2
110, -89, 0.18181818181818182
111, -89, 0.2
112, -89, 0.26666666666666666
113, -89, 0.3
114, -89, 0.2857142857142857
115, -89, 0.2916666666666667
116, -89, 0.25925925925925924
117, -89, 0.24
118, -89, 0.13636363636363635
119, -89, 0.25925925925925924
120, -89, 0.2857142857142857
121, -89, 0.2222222222222222
122, -89, 0.24
123, -89, 0.36363636363636365
124, -89, 0.3333333333333333
0, -88, 0.09523809523809523
1, -88, 0.08333333333333333
2, -88, 0.09090909090909091
3, -88, 0.05
4, -88, 0.043478260869565216
5, -88, 0.08571428571428572
6, -88, 0.04
7, -88, 0.05
8, -88, 0.037037037037037035
9, -88, 0.041666666666666664
10, -88, 0.1
11, -88, 0.045454545454545456
12, -88, 0.041666666666666664
13, -88, 0.041666666666666664
14, -88, 0.04
15, -88, 0.043478260869565216
16, -88, 0.04
17, -88, 0.04
18, -88, 0.0
19, -88, 0.0
20, -88, 0.0
21, -88, 0.0
22, -88, 0.0
23, -88, 0.0
24, -88, 0.0
25, -88, 0.0
26, -88, 0.0
27, -88, 0.0
28, -88, 0.0
29, -88, 0.0
30, -88, 0.0
31, -88, 0.0
32, -88, 0.0
33, -88, 0.0
34, -88, 0.0
35, -88, 0.0
36, -88, 0.0
37, -88, 0.0
38, -88, 0.0
39, -88, 0.0
40, -88, 0.0
41, -88, 0.0
42, -88, 0.0
43, -88, 0.0
44, -88, 0.07407407407407407
45, -88, 0.0
46, -88, 0.07692307692307693
47, -88, 0.0
48, -88, 0.0
49, -88, 0.0
50, -88, 0.08333333333333333
51, -88, 0.043478260869565216
52, -88, 0.043478260869565216
53, -88, 0.037037037037037035
54, -88, 0.05
55, -88, 0.05555555555555555
56, -88, 0.08333333333333333
57, -88, 0.06896551724137931
58, -88, 0.1111111111111111
59, -88, 0.15
60, -88, 0.1891891891891892
61, -88, 0.13157894736842105
62, -88, 0.14285714285714285
63, -88, 0.17142857142857143
64, -88, 0.1724137931034483
65, -88, 0.12903225806451613
66, -88, 0.125
67, -88, 0.13043478260869565
68, -88, 0.25
69, -88, 0.3
70, -88, 0.1724137931034483
71, -88, 0.07692307692307693
72, -88, 0.18181818181818182
73, -88, 0.09090909090909091
74, -88, 0.10344827586206896
75, -88, 0.125
76, -88, 0.1
77, -88, 0.12
78, -88, 0.09375
79, -88, 0.07407407407407407
80, -88, 0.08333333333333333
81, -88, 0.1
82, -88, 0.1
83, -88, 0.16
84, -88, 0.13043478260869565
85, -88, 0.13636363636363635
86, -88, 0.14285714285714285
87, -88, 0.18518518518518517
88, -88, 0.045454545454545456
89, -88, 0.13636363636363635
90, -88, 0.09523809523809523
91, -88, 0.12
92, -88, 0.16666666666666666
93, -88, 0.14285714285714285
94, -88, 0.14814814814814814
95, -88, 0.1891891891891892
96, -88, 0.23333333333333334
97, -88, 0.09090909090909091
98, -88, 0.0967741935483871
99, -88, 0.2
100, -88, 0.3235294117647059
