Morales, Kendrys,434778,2016,618,147,93,24,0,30,19.4,7.8,.263,.291,24,48,4.83,24.3
Kendrick III, Howie,435062,2016,543,124,88,26,2,8,17.7,9.2,.255,.268,20.8,47.9,4.47,26.7
Napoli, Mike,435063,2016,645,133,76,22,1,34,30.1,12.1,.239,.220,30.5,43.8,4.81,24.9
Wilson, Bobby,435064,2016,251,54,41,6,0,7,25.5,4.4,.237,.217,29.9,54.6,4.83,23.9
Kinsler, Ian,435079,2016,679,178,117,29,4,28,16.9,6.6,.288,.267,15.9,44.9,4.46,26.8
Andino, Robert,435180,2016,24,7,7,0,0,0,16.7,0,.292,.198,22.7,57.1,,26.0
McCarthy, Brandon,435221,2016,15,0,0,0,0,0,40,13.3,.000,.033,13.3,22.4,,
McCann, Brian,435263,2016,492,104,71,13,0,20,20.1,11,.242,.246,19.7,43,5.04,23.0
Walker, Neil,435522,2016,458,116,83,9,1,23,18.3,9.2,.282,.270,19.9,46.7,4.48,26.2
Suzuki, Kurt,435559,2016,373,89,56,24,1,8,12.9,4.8,.258,.242,15.9,48.2,4.75,25.5
Desmond, Ian,435622,2016,677,178,124,29,3,22,23.6,6.5,.285,.258,27.4,46.5,4.31,28.6
Cruz Jr., Nelson,443558,2016,667,169,98,27,1,43,23.8,9.3,.287,.279,29.1,47.4,4.54,26.1
Jaso, John,444379,2016,432,102,66,25,3,8,17.1,10.4,.268,.262,17.2,40.7,4.62,25.5
Trumbo, Mark,444432,2016,667,157,82,27,1,47,25.5,7.6,.256,.267,29.3,49.3,4.59,27.0
Peralta, David,444482,2016,183,43,25,9,5,4,23,4.4,.251,.235,23.2,52,4.26,28.1
Piña, Manny,444489,2016,81,18,12,4,0,2,18.5,12.3,.254,.256,26,40.8,4.74,25.1
Ethier, Andre,444843,2016,26,5,3,1,0,1,23.1,7.7,.208,.161,21.3,45.6,,25.8
Escobar, Alcides,444876,2016,682,166,129,24,6,7,14.1,4,.261,.244,20.5,53.7,4.34,27.5
Jay, Jon,445055,2016,374,101,72,26,1,2,20.9,5.1,.291,.256,21.6,52.1,4.49,26.3
Prado, Martín,445988,2016,658,183,135,37,3,8,10.5,7.4,.305,.284,10.4,39.6,4.54,26.7
Duda, Lucas,446263,2016,172,35,21,7,0,7,20.9,8.7,.229,.264,22,41,4.75,25.2
Wieters, Matt,446308,2016,464,103,68,17,1,17,18.3,6.9,.243,.255,23.5,51.1,4.69,25.0
Longoria, Evan,446334,2016,685,173,92,41,4,36,21,6.1,.273,.269,26.1,48.5,4.36,27.4
Cozart, Zack,446359,2016,508,117,71,28,2,16,16.5,7.3,.252,.240,18.7,46.8,4.51,25.9
Barney, Darwin,446381,2016,306,75,56,13,2,4,15.7,7.2,.269,.247,17.8,48.6,4.35,27.4
Guyer, Brandon,446386,2016,345,78,51,17,1,9,15.9,5.5,.266,.249,19.4,49.9,4.39,27.9
Rodríguez, Sean,446481,2016,342,81,46,16,1,18,29.8,9.6,.270,.239,36.4,47.6,4.48,27.0
Lobatón, Jose,446653,2016,114,23,16,3,1,3,15.8,10.5,.232,.256,23,53.1,,24.1
Hill, Rich,448179,2016,12,0,0,0,0,0,66.7,0,.000,.016,52,69.4,,25.4
Shields, James,448306,2016,23,4,4,0,0,0,52.2,0,.190,.085,48.7,48.1,,
Reynolds, Mark,448602,2016,441,111,73,24,0,14,25.4,9.5,.282,.227,26.7,46,4.7,25.0
Ruggiano, Justin,448605,2016,26,8,5,1,0,2,38.5,7.7,.333,.215,37.7,50.5,,26.5
Davis, Chris,448801,2016,665,125,66,21,0,38,32.9,13.2,.221,.220,36.9,42.6,4.51,26.5
García, Jaime,448802,2016,51,7,7,0,0,0,33.3,3.9,.171,.198,25.3,52,,25.2
Guerra, Junior,448855,2016,43,8,6,2,0,0,30.2,0,.229,.188,31.3,72.8,,22.0
Aviles, Mike,449107,2016,181,35,28,5,1,1,14.9,5,.210,.247,16.8,46.8,4.35,28.0
Orlando, Paulo,449181,2016,483,138,105,24,4,5,21.7,2.7,.302,.281,25.1,56.4,4.22,29.6
Zobrist, Ben,450314,2016,631,142,90,31,3,18,13,15.2,.272,.276,12.8,35.5,4.3,27.3
Fowler, Dexter,451594,2016,551,126,81,25,7,13,22.5,14.3,.276,.255,21.9,39.2,4.26,28.3
Rosario, Alberto,451705,2016,41,7,5,2,0,0,12.2,4.9,.184,.255,13.5,46,4.58,26.1
Flowers, Tyler,452095,2016,325,76,50,18,0,8,28,8.9,.270,.243,28.7,45.6,4.6,25.4
Headley, Chase,452104,2016,529,118,85,18,1,14,22.3,9.6,.253,.241,24.8,44,4.61,25.8
Drew, Stephen,452220,2016,165,38,18,11,1,8,18.8,9.7,.266,.266,17.2,42.4,4.46,26.3
Smith, Seth,452234,2016,438,94,63,15,0,16,20.3,11,.249,.267,22.2,39.7,4.51,26.1
Lind, Adam,452252,2016,430,96,59,17,0,20,20.7,6,.239,.257,22.8,47.6,4.77,24.6
Pence, Hunter,452254,2016,442,114,77,23,1,13,21.5,9.7,.289,.264,31.3,45.7,4.2,28.5
Span, Denard,452655,2016,637,152,113,23,5,11,12.4,8.3,.266,.280,13.9,44.3,4.28,27.9
Lester, Jon,452657,2016,75,6,3,3,0,0,24,8,.102,.158,27.3,45.2,,21.9
Hanigan, Ryan,452672,2016,113,18,13,4,0,1,23.9,6.2,.171,.173,22.5,43.6,4.74,25.9
Cabrera, Asdrúbal,452678,2016,568,146,92,30,1,23,18.1,6.7,.280,.254,22.9,50.8,4.68,25.5
