last_name, first_name,player_id,year,pa,walk,k_percent,batting_avg,xba,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
Straw, Myles,664702,2022,596,54,14.6,.221,.236,87,34.1,0.7,26.5,95.486124533,91.784236481,12.6,40.5
Isbel, Kyle,664728,2022,278,16,27,.211,.220,89.7,30.4,4.9,44.6,100.466422667,94.564799889,21.9,46.3
Higgins, P.J.,664731,2022,229,22,25.3,.229,.205,86,34.7,3.4,25.5,95.709141571,91.886405683,27.3,43.1
Bohm, Alec,664761,2022,631,31,17.4,.280,.290,90.2,37.7,6.8,43,100.649873374,94.552579815,21.1,51.2
Wade Jr., LaMonte,664774,2022,251,26,20.3,.207,.218,87.7,33.7,9.5,34.3,98.05927131,93.112804491,17.8,44.8
Mazeika, Patrick,664850,2022,72,2,12.5,.191,.188,84.5,29.5,3.3,18,93.467468276,90.797627414,14.9,49.6
Zavala, Seby,664874,2022,205,19,31.2,.270,.207,88.8,41.2,9.2,37,98.11221069,93.374340172,37.6,53.5
Mendick, Danny,664901,2022,106,7,21.7,.289,.229,86.8,38.7,4,20,95.653647838,91.91142,25.3,42.2
Brown, Seth,664913,2022,555,51,26.3,.230,.251,89.2,34.9,13,41.4,101.723429266,95.001222068,29.6,48.3
McCarthy, Jake,664983,2022,354,23,21.5,.283,.249,87.4,32.5,4.8,33.7,98.235931513,93.298753151,27.4,53.1
Clemens, Kody,665019,2022,127,8,26,.145,.196,89.4,26.7,5.8,37.2,98.286138605,93.203562907,27.4,53
Walsh, Jared,665120,2022,454,27,30.4,.215,.221,90.1,34,9.5,42.5,100.931193759,94.894355638,27.6,49.1
Maton, Nick,665155,2022,85,10,34.1,.250,.217,86.6,37.8,6.7,31.1,96.703721364,92.378948864,35.4,48.8
Peña, Jeremy,665161,2022,558,22,24.2,.253,.248,88.1,32.9,9.7,36.7,99.803563646,93.99255276,29.7,55.2
