last_name, first_name,player_id,year,pa,hit,single,double,triple,home_run,k_percent,bb_percent,batting_avg,xba,whiff_percent,swing_percent,hp_to_1b,sprint_speed
Frazier, Adam,624428,2023,455,99,63,21,2,13,14.9,7,.240,.261,19.2,48.3,4.5,26.5
Trevino, Jose,624431,2023,168,33,25,4,0,4,13.1,4.8,.210,.245,16.4,45.6,4.86,24.4
Gordon, Nick,624503,2023,93,16,8,5,1,2,11.8,1.1,.176,.251,20.9,58.9,4.43,27.4
McGuire, Reese,624512,2023,206,50,36,12,1,1,25.7,5.3,.267,.207,22.9,53.2,4.52,25.9
Soler, Jorge,624585,2023,580,126,66,24,0,36,24.3,11.4,.250,.262,27.6,44.1,4.76,26.6
Sosa, Edmundo,624641,2023,300,70,43,15,2,10,24.7,2.7,.251,.238,28.4,59.5,4.37,29.2
Ibáñez, Andy,628451,2023,383,94,58,23,2,11,18,6.3,.264,.271,22.6,51.8,4.43,27.2
Cronenworth, Jake,630105,2023,522,105,64,24,7,10,18.6,8.8,.229,.238,15.9,47.6,4.32,28.3
Frazier, Clint,640449,2023,76,13,11,1,1,0,30.3,13.2,.197,.190,28.2,44.4,4.51,27.7
Meadows, Austin,640457,2023,21,5,4,1,0,0,14.3,0,.238,.229,15.9,55.7,,26.0
Mercado, Óscar,640458,2023,32,9,6,3,0,0,12.5,3.1,.290,.271,23.3,53.6,,28.0
Azocar, José,640492,2023,102,21,13,6,0,2,23.5,3.9,.231,.260,23.4,57.4,4.33,29.6
Anderson, Tim,641313,2023,524,121,100,18,2,1,23.3,5,.245,.252,25.3,53.5,4.52,27.2
Bauers, Jake,641343,2023,272,49,22,15,0,12,34.9,9.9,.202,.230,33.3,45.8,4.42,27.3
Bellinger, Cody,641355,2023,556,153,97,29,1,26,15.6,7.2,.307,.268,20.1,49.9,4.14,28.3
Calhoun, Willie,641432,2023,149,32,20,7,0,5,13.4,9.4,.239,.260,15.7,39.7,4.82,25.1
