EV, LA, Hits, Outs
92, -42, 1, 1
56, 35, 0, 1
69, -26, 0, 8
74, 89, 0, 1
113, 17, 4, 2
71, 20, 12, 0
90, 33, 3, 49
62, -29, 0, 2
81, -16, 2, 13
48, 36, 0, 1
39, -13, 1, 0
83, 30, 1, 23
96, -31, 1, 4
41, 33, 0, 1
60, 46, 0, 5
99, -26, 1, 10
44, 38, 0, 1
57, -23, 1, 5
76, -10, 0, 25
92, -29, 0, 11
78, 36, 1, 22
111, -16, 1, 1
97, 49, 0, 17
50, -26, 1, 3
69, -13, 0, 13
110, -12, 1, 5
113, 30, 1, 0
71, 33, 4, 6
90, 46, 0, 29
84, -28, 1, 14
103, -15, 9, 11
87, -23, 2, 19
106, -10, 6, 15
78, -72, 0, 1
105, 31, 25, 7
64, -7, 1, 8
96, -18, 8, 27
108, 36, 2, 2
55, -56, 1, 6
25, 38, 0, 1
99, -13, 6, 27
85, 52, 0, 22
57, -10, 0, 2
76, 3, 1, 15
59, 36, 1, 2
78, 49, 0, 15
50, -13, 0, 1
91, -12, 4, 29
110, 1, 15, 5
94, -7, 13, 35
66, -69, 0, 1
85, -56, 0, 2
52, -4, 0, 3
84, -15, 4, 15
103, -2, 17, 27
103, -1, 24, 28
87, -10, 1, 17
106, 3, 30, 24
73, 55, 0, 4
105, 44, 1, 1
64, 6, 1, 0
58, -68, 1, 1
77, -55, 0, 1
80, -50, 0, 1
66, 52, 2, 5
85, 65, 0, 9
79, -9, 0, 13
98, 4, 43, 30
82, -4, 5, 17
101, 9, 51, 17
54, -66, 1, 1
73, -53, 1, 2
59, 49, 0, 2
100, 50, 0, 9
31, -50, 0, 1
91, 1, 13, 20
77, 66, 0, 4
75, -7, 2, 17
94, 6, 30, 31
80, 71, 0, 1
52, 9, 0, 1
65, -52, 2, 3
109, -9, 4, 6
68, -47, 0, 3
73, 68, 0, 2
86, 7, 17, 19
58, -55, 0, 5
89, 12, 43, 8
77, -42, 0, 2
42, -63, 0, 1
61, -50, 0, 2
80, -37, 0, 8
79, 4, 8, 17
98, 17, 28, 56
65, 69, 0, 1
63, -4, 0, 2
82, 9, 10, 14
101, 22, 48, 28
68, 74, 0, 1
54, -53, 0, 1
53, -49, 1, 2
72, -36, 0, 8
58, 66, 0, 1
77, 79, 0, 1
56, -44, 0, 4
75, 6, 9, 20
116, 7, 1, 1
80, 84, 0, 2
74, 10, 1, 11
93, 23, 12, 43
46, -52, 1, 0
65, -39, 0, 3
49, -47, 0, 2
109, 4, 11, 8
68, -34, 0, 4
95, 69, 0, 2
67, 7, 1, 4
86, 20, 15, 20
72, 85, 0, 2
70, 12, 8, 6
89, 25, 9, 44
83, -49, 1, 1
28, 15, 0, 1
88, 66, 0, 3
60, -33, 0, 7
65, 82, 0, 2
63, 9, 1, 1
104, 10, 71, 12
68, 87, 0, 1
21, 12, 0, 2
95, -39, 0, 1
81, 26, 1, 17
53, -36, 1, 2
72, -23, 0, 10
58, 79, 0, 1
37, -44, 1, 0
56, -31, 0, 9
61, 84, 0, 1
74, 23, 12, 1
93, 36, 1, 32
46, -39, 1, 0
51, 39, 1, 1
49, -34, 0, 2
90, -33, 1, 10
95, 82, 0, 1
48, -30, 0, 3
67, 20, 4, 1
81, -82, 0, 1
70, 25, 17, 0
111, 26, 9, 0
83, -36, 1, 7
28, 28, 1, 0
69, 29, 5, 0
102, -23, 3, 6
41, -33, 0, 2
60, -20, 1, 4
104, 23, 57, 11
76, -76, 0, 2
62, 26, 5, 3
81, 39, 0, 24
37, -31, 1, 2
78, -30, 3, 5
97, -17, 6, 19
83, 85, 0, 2
96, 24, 29, 47
13, 26, 1, 0
99, 29, 30, 32
71, -33, 0, 3
90, -20, 3, 20
35, 44, 1, 0
76, 45, 2, 14
92, 26, 4, 45
64, -73, 0, 3
69, 42, 1, 3
44, -15, 1, 0
85, -14, 3, 21
71, 88, 0, 1
76, -63, 0, 1
62, 39, 1, 3
103, 40, 0, 11
106, 45, 1, 1
59, -30, 1, 2
78, -17, 2, 16
97, -4, 18, 33
64, 48, 0, 2
96, 37, 5, 48
99, 42, 2, 13
71, -20, 0, 6
76, 58, 0, 10
73, -11, 1, 13
92, 39, 0, 47
105, -22, 1, 3
64, -60, 0, 1
91, 43, 0, 27
108, -17, 0, 3
94, 48, 0, 26
66, -14, 0, 9
38, -76, 0, 1
57, -63, 1, 1
84, 40, 0, 27
103, 53, 0, 1
87, 45, 0, 30
59, -17, 0, 2
100, -16, 7, 21
45, 48, 0, 1
64, 61, 0, 3
80, 5, 11, 21
52, -57, 0, 3
112, -6, 3, 0
57, 58, 0, 2
98, 59, 1, 6
73, 2, 2, 18
91, 56, 0, 16
89, -54, 0, 1
75, 48, 0, 11
94, 61, 0, 7
79, -62, 0, 1
84, 53, 0, 17
63, -70, 0, 1
87, 58, 0, 13
100, -3, 28, 35
86, 62, 0, 11
77, 13, 5, 9
89, 67, 0, 2
42, -8, 1, 1
75, -60, 1, 0
61, 5, 0, 3
80, 18, 34, 1
33, -57, 0, 1
52, -44, 0, 1
93, -43, 0, 1
79, 59, 0, 8
63, 51, 0, 3
51, -40, 0, 4
82, 64, 0, 6
101, 77, 0, 1
95, 3, 33, 23
114, 16, 5, 0
67, -59, 1, 2
86, -46, 0, 1
72, 19, 23, 1
70, -54, 0, 4
75, 61, 0, 7
47, -38, 0, 1
107, 13, 41, 6
52, 77, 0, 1
65, 16, 3, 4
63, -57, 0, 2
82, -44, 1, 5
49, 8, 0, 1
68, 21, 8, 1
81, -40, 0, 6
67, 62, 0, 2
86, 75, 0, 3
58, 13, 2, 2
70, 67, 0, 1
89, 80, 0, 2
42, 5, 0, 1
61, 18, 1, 0
102, 19, 51, 46
74, -43, 0, 4
93, -30, 0, 6
79, 72, 0, 1
63, 64, 0, 2
82, 77, 0, 6
35, -35, 0, 1
95, 16, 21, 25
114, 29, 1, 0
81, 81, 0, 3
67, -46, 0, 2
53, 19, 0, 2
72, 32, 10, 6
70, -41, 0, 8
56, 24, 0, 1
88, 13, 35, 2
47, -25, 0, 1
74, 78, 0, 3
46, 16, 1, 0
49, 21, 0, 1
68, 34, 12, 1
62, -40, 1, 5
81, -27, 0, 12
39, -24, 0, 1
70, 80, 0, 3
83, 19, 25, 4
102, 32, 32, 20
74, -30, 0, 12
60, 35, 2, 1
35, -22, 1, 1
76, -21, 0, 17
53, 32, 1, 0
92, -40, 0, 5
111, -27, 0, 1
56, 37, 2, 0
97, 38, 5, 29
50, -37, 1, 1
83, -89, 0, 1
69, -24, 2, 11
113, 19, 5, 0
71, 22, 17, 0
90, 35, 2, 52
62, -27, 0, 8
103, -26, 3, 1
106, -21, 0, 2
92, 81, 0, 1
83, 32, 0, 24
50, 84, 0, 2
96, -29, 1, 7
55, -67, 0, 2
60, 48, 0, 2
99, -24, 1, 9
71, -86, 1, 0
57, -21, 0, 2
76, -8, 2, 26
48, -70, 0, 1
92, -27, 3, 21
78, 38, 0, 16
97, 51, 0, 14
50, -24, 0, 1
69, -11, 0, 9
110, -10, 3, 5
55, 54, 0, 1
113, 32, 2, 0
71, 35, 8, 7
84, -26, 0, 21
29, 38, 0, 1
103, -13, 2, 8
87, -21, 1, 17
106, -8, 15, 22
78, -70, 1, 2
105, 33, 13, 5
64, -5, 1, 7
77, -66, 1, 0
96, -16, 9, 30
108, 38, 7, 1
80, -61, 1, 0
99, -11, 11, 31
66, 41, 3, 3
85, 54, 0, 12
38, -21, 1, 0
112, -72, 2, 0
98, -7, 14, 44
101, -1, 25, 41
101, -2, 22, 38
54, -77, 0, 1
59, 38, 0, 2
